campaign_id,channel,objective,start_date,end_date,target_segment,expected_uplift
1,Paid Search,Cross-sell,25-10-2021,26-11-2021,Deal Seekers,0.022
2,Email,Retention,24-10-2021,24-12-2021,Deal Seekers,0.116
3,Email,Reactivation,08-10-2023,30-11-2023,Churn Risk,0.1
4,Display,Reactivation,25-07-2022,07-10-2022,Deal Seekers,0.111
5,Social,Acquisition,09-07-2022,29-09-2022,New Customers,0.144
6,Affiliate,Reactivation,20-10-2021,03-12-2021,New Customers,0.087
7,Paid Search,Cross-sell,02-07-2023,10-08-2023,High Value,0.136
8,Paid Search,Cross-sell,23-08-2021,30-09-2021,Churn Risk,0.128
9,Social,Retention,09-10-2023,30-12-2023,All,0.113
10,Email,Cross-sell,01-09-2022,22-10-2022,Churn Risk,0.034
11,Affiliate,Reactivation,02-11-2022,14-01-2023,Churn Risk,0.104
12,Email,Acquisition,20-01-2021,21-02-2021,Churn Risk,0.032
13,Display,Reactivation,19-03-2022,09-06-2022,Churn Risk,0.063
14,Email,Retention,20-09-2022,29-09-2022,High Value,0.092
15,Social,Retention,29-04-2022,10-05-2022,New Customers,0.086
16,Email,Reactivation,10-08-2023,15-10-2023,All,0.118
17,Display,Retention,05-04-2023,24-04-2023,High Value,0.14
18,Affiliate,Retention,09-10-2022,07-12-2022,All,0.139
19,Affiliate,Acquisition,28-11-2021,29-01-2022,New Customers,0.087
20,Social,Reactivation,26-07-2021,23-09-2021,New Customers,0.059
21,Email,Acquisition,21-02-2023,27-03-2023,Churn Risk,0.09
22,Affiliate,Reactivation,02-07-2022,18-09-2022,High Value,0.038
23,Paid Search,Retention,25-10-2022,19-01-2023,Deal Seekers,0.107
24,Display,Acquisition,07-11-2021,06-01-2022,New Customers,0.063
25,Paid Search,Cross-sell,19-03-2021,11-04-2021,High Value,0.119
26,Email,Reactivation,13-08-2023,01-11-2023,Deal Seekers,0.037
27,Display,Retention,01-04-2022,11-04-2022,New Customers,0.057
28,Affiliate,Acquisition,02-09-2021,11-09-2021,New Customers,0.093
29,Email,Acquisition,26-12-2021,26-02-2022,New Customers,0.14
30,Social,Acquisition,04-11-2023,06-01-2024,Deal Seekers,0.052
31,Affiliate,Cross-sell,26-10-2023,03-12-2023,High Value,0.108
32,Social,Reactivation,05-08-2021,16-10-2021,Churn Risk,0.051
33,Display,Cross-sell,15-02-2022,18-04-2022,All,0.1
34,Email,Reactivation,19-03-2023,13-05-2023,Churn Risk,0.042
35,Display,Acquisition,06-11-2022,26-11-2022,High Value,0.046
36,Display,Reactivation,03-04-2023,10-06-2023,Deal Seekers,0.117
37,Paid Search,Cross-sell,20-10-2022,01-12-2022,Deal Seekers,0.096
38,Paid Search,Reactivation,18-12-2021,31-01-2022,All,0.065
39,Affiliate,Retention,08-03-2023,11-05-2023,New Customers,0.108
40,Display,Cross-sell,25-07-2022,07-09-2022,New Customers,0.105
41,Social,Retention,09-04-2023,17-04-2023,All,0.058
42,Paid Search,Retention,22-04-2023,29-06-2023,High Value,0.051
43,Paid Search,Cross-sell,12-03-2023,18-04-2023,Deal Seekers,0.078
44,Affiliate,Reactivation,31-01-2021,17-04-2021,All,0.141
45,Affiliate,Retention,08-04-2022,15-06-2022,Churn Risk,0.114
46,Social,Cross-sell,23-03-2023,17-04-2023,All,0.03
47,Affiliate,Cross-sell,12-04-2022,04-06-2022,High Value,0.066
48,Paid Search,Acquisition,05-01-2022,04-04-2022,New Customers,0.099
49,Paid Search,Reactivation,09-04-2021,24-05-2021,Deal Seekers,0.128
50,Email,Retention,14-02-2021,24-03-2021,Churn Risk,0.023
